Nivel,Módulo,Competencia,Descriptores de Desempeño,Contextos de Uso
A1,Vocabulary,"Colors (11 básicos: red, blue, yellow, green, etc.)","Identificar colores en objetos reales e imágenes","Descripción de cosas, ropa"
A1,Vocabulary,"Family Members (singular & plural)","Mother, father, sister, brother, grandmother, grandfather, cousin","Describir familia cercana"
A1,Vocabulary,"Days of the Week & Months","Recognizing and producing all 7 days and 12 months, Asociar días con actividades","Calendario, horarios"
A1,Vocabulary,"Common Food Items (15-20 items)","Bread, cheese, apple, milk, water, coffee, chicken, rice, pizza, ice cream","Menús, compras básicas"
A1,Vocabulary,"Common Classroom Objects","Book, pen, pencil, desk, chair, board, bag, ruler, notebook, scissors","Identificación en clase"
A1,Vocabulary,"Clothing Basics (10-12 items)","Shirt, T-shirt, pants, shoes, hat, jacket, skirt, dress, socks, gloves","Descripción, compras"
A1,Vocabulary,"Animals (12-15 comunes)","Dog, cat, bird, fish, horse, cow, chicken, lion, elephant, snake","Conversación general, cuentos infantiles"
A2,Grammar,"Present Simple: Advanced Patterns","Preguntas con adverbios interrogativos (What, Where, When, Why, How), Respuestas cortas (Yes, he does / No, I don't)","Conversaciones, entrevistas"
A2,Grammar,"Present Continuous (Affirmative, Negative, Questions)","Formar -ing gerunds correctamente, Diferenciar Simple vs Continuous","Describir acciones en progreso"
A2,Grammar,"Past Simple Regular & Irregular Verbs","30-40 verbos irregulares comunes (go-went, see-saw, eat-ate), Negativas y preguntas","Narrativas, historias personales"
A2,Grammar,"Comparatives & Superlatives (Adjectives)","Regular: -er/-est, Irregular: good-better-best, bad-worse-worst, Oraciones comparativas","Descripciones relativas, preferencias"
A2,Grammar,"Going to (Future Plans)","Formation: Subject + is/are + going to + infinitive, Negativas y preguntas","Planes futuros cercanos"
A2,Grammar,"Can / Can't (Ability & Permission)","Present ability, simple requests, polite permissions, Distinguir de Must/Should","Capacidades, permisos, solicitudes"
A2,Grammar,"Have got / Has got (Possession)","Affirmative, negative, questions. Diferenciar de 'have' como verbo auxiliar","Describir posesiones"
A2,Grammar,"Object Pronouns (me, you, him, her, it, us, them)","Posición correcta en oraciones, Diferenciación con sujetos","Pronominales en conversación"
A2,Reading,"Short Fictional Stories (100-150 words)","Narrativa simple con pasado y vocabulario conocido, Identificar personajes, trama básica","Lectura recreativa, desarrollo comprensivo"
A2,Reading,"Menus & Restaurant Texts","Entender categorías (appetizers, mains, desserts), precios, alergias, ingredientes","Contexto gastronómico realista"
A2,Reading,"Email & Formal Letters (Basic)","Comprender saludos, despedidas, puntos principales en correspondencia simple","Comunicación formal básica"
A2,Reading,"Advertisements & Product Descriptions","Identificar características, precios, beneficios en anuncios simples","Marketing, compras en línea"
A2,Reading,"Travel Brochures & Event Flyers","Extraer información de fechas, ubicaciones, costos, actividades","Planificación de viajes"
A2,Reading,"Weather Reports & Simple News","Entender predicciones, información factual básica, verbos en pasado","Información cotidiana"
A2,Reading,"Instructions for Everyday Tasks","Seguir pasos en manuales, recetas, guías de software básicas","Aplicaciones prácticas"
A2,Writing,"Short Personal & Friendly Emails","Escribir 50-75 palabras con solicitudes sencillas, noticias personales","Comunicación informal"
A2,Writing,"Basic Descriptions (Places & People)","Describir 80-100 palabras usando adjetivos y ubicaciones","Narrativa descriptiva"
A2,Writing,"Simple Biographical Sketches","Escribir 60-80 palabras sobre personas, empleos, actividades","Información personal expandida"
A2,Writing,"Past Tense Narratives (Personal Stories)","Contar eventos pasados con cohesión básica, 100-120 palabras","Historias personales"
A2,Writing,"Simple Reviews (Hotels, Restaurants)","Expresar opiniones positivas/negativas con justificación breve, 60-80 palabras","Reseñas en línea"
A2,Writing,"Instructions & Process Descriptions","Escribir pasos simples para tareas cotidianas, 80-100 palabras","Manuales básicos"
A2,Listening,"Familiar Conversations (Shopping, Asking Directions)","Seguir intercambios sobre transacciones simples, ubicaciones, rutinas","Situaciones cotidianas"
A2,Listening,"Clear Announcements (Airport, Train Station)","Comprender información de horarios, retrasos, cambios de planes","Contextos de viaje"
A2,Listening,"Descriptions of People & Places","Entender detalles visuales y emocionales en descripciones simples","Narrativa descriptiva"
A2,Listening,"Simple Interviews (How they spend their time)","Captar información personal: trabajos, hobbies, familia, rutinas","Información personal"
A2,Listening,"Songs with Clear Lyrics & Repetition","Seguir vocabulario en canciones con estructura clara, temas familiares","Aprendizaje cultural"
A2,Listening,"Short Comedic Sketches (2-3 minutes)","Entender humor basado en situaciones reconocibles, vocabulario repetido","Entretenimiento, cultura"
A2,Speaking,"Describing Past Experiences & Holidays","Narrar eventos pasados con cohesión básica, duración 1-2 minutos","Historias personales"
A2,Speaking,"Asking for Help & Making Requests","Pedir información, servicios, con cortesía básica, frases prefabricadas","Interacción funcional"
A2,Speaking,"Exchanging Opinions on Simple Topics","Expresar acuerdo/desacuerdo en temas cotidianos sin argumentación compleja","Conversación casual"
A2,Speaking,"Describing Daily Routines & Schedules","Hablar de horarios, actividades, preferencias de tiempo","Vida cotidiana"
A2,Speaking,"Ordering Food & Making Reservations","Transacciones de restaurante/hotel con vocabulario específico","Contexto turístico"
A2,Speaking,"Simple Problem-Solving Conversations","Negociar soluciones a problemas menores (cambios, devoluciones, etc)","Interacción práctica"
A2,Vocabulary,"Seasons & Weather Vocabulary (15-20 words)","Sunny, cloudy, rainy, windy, snowy, temperature, forecast, weather conditions","Descripción diaria"
A2,Vocabulary,"Hobbies & Leisure Activities (20-25 words)","Reading, sports, music, gaming, cooking, gardening, travel, movies, dancing","Preferencias personales"
A2,Vocabulary,"Occupations & Professions (20-25 words)","Teacher, doctor, nurse, engineer, businessman, chef, artist, driver, farmer","Trabajo, carrera"
A2,Vocabulary,"Household Items & Furniture (20-25 words)","Sofa, table, lamp, refrigerator, microwave, dishwasher, curtains, mirror","Descripción del hogar"
A2,Vocabulary,"Body Parts & Physical Description (20-25 words)","Head, face, eyes, nose, mouth, arms, hands, legs, tall, short, curly, straight","Descripción física"
A2,Vocabulary,"Nationalities & Languages (15-20 words)","English, Spanish, French, German, Chinese, Japanese, British, American, Canadian","Identidad cultural"
A2,Vocabulary,"Common Verbs in Past Tense (20-25 irregular verbs)","Went, saw, ate, drank, played, watched, bought, sold, made, thought, understood","Narrativa pasada"
A2,Vocabulary,"Emotions & Feelings (15-20 words)","Happy, sad, angry, scared, excited, bored, tired, proud, embarrassed, confused","Expresión emocional"
B1,Grammar,"Present Perfect Simple & Continuous","Formation: Have/has + past participle, Duration vs completion, Diferenciar de Past Simple","Experiencias, duración de acciones"
B1,Grammar,"First Conditional (Real/Probable Situations)","If + present + will/can/may + infinitive, Mixed usage with other modal verbs","Predicciones, condiciones probables"
B1,Grammar,"Modal Verbs (Must, Should, Could, Might)","Obligación, prohibición, consejo, posibilidad, permiso con variaciones de certeza","Expresión de obligación y posibilidad"
B1,Grammar,"Passive Voice (Present & Past Simple)","Formation: be + past participle, Identificar agente vs acción, Uso en reportes","Descripciones objetivas, reportes"
B1,Grammar,"Reported Speech (Statements & Questions)","Cambios de tiempos, pronombres, citas indirectas, variaciones de 'say vs tell'","Narrativa, retransmisión de información"
B1,Grammar,"Relative Clauses (Who, Which, That, Where)","Defining & non-defining, Restrictive vs explanatory information, Pronombres relativos","Descripciones expandidas"
B1,Grammar,"Adverbials of Frequency, Time & Place","Position in sentence, Temporal clauses (when, while, before, after), Adverbios de tiempo","Sequencing, narrativa"
B1,Grammar,"Phrasal Verbs (20-30 comunes)","Put off, put up with, carry on, bring about, look after, turn down, set up","Lenguaje cotidiano, expresiones"
B1,Reading,"Newspaper & Magazine Articles (200-300 words)","Estructura: headline, intro, quotes, conclusion. Identificar hechos vs opinión","Actualidad, información"
B1,Reading,"Short Stories & Extracts (250-350 words)","Trama completa, characterización, temas principales, técnicas literarias simples","Lectura literaria"
B1,Reading,"Biographies & Profile Texts","Cronología de eventos, logros, contexto histórico, estructura narrativa","Información biográfica"
B1,Reading,"Opinion Essays & Blog Posts (200-300 words)","Argumentación simple, ejemplos de apoyo, conclusiones, vocabulario persuasivo","Análisis de perspectivas"
B1,Reading,"Formal Emails & Business Correspondence","Estructura: saludo formal, proposición, justificación, despedida profesional","Comunicación profesional"
B1,Reading,"Instructional & Technical Texts (Manuals, How-to guides)","Secuencialidad, imperativos, advertencias, vocabulario técnico básico","Comprensión técnica"
B1,Writing,"Structured Paragraphs (150-200 words)","Tema principal, detalles de apoyo, conexión lógica, conclusión","Escritura académica básica"
B1,Writing,"Personal Essays & Reflections (200-250 words)","Introducción, desarrollo de ideas, conclusión, cohesión con conectores","Expresión personal"
B1,Writing,"Formal Letters of Complaint & Inquiry (120-150 words)","Tono apropiado, claridad de problema/pregunta, solicitud específica, cortesía","Correspondencia formal"
B1,Writing,"Book or Film Reviews (180-220 words)","Resumen breve, opiniones justificadas, ejemplos de escenas, recomendación","Crítica cultural"
B1,Writing,"Narrative Compositions (Past experiences - 200-250 words)","Secuencia temporal, detalles descriptivos, conclusión reflexiva, participación emocional","Narrativa completa"
B1,Writing,"Descriptive Essays (Places, Events - 150-200 words)","Organización espacial/temporal, adjetivos variados, cohesión, conclusión","Descripción expansiva"
B1,Listening,"Documentary Extracts (8-10 minutes)","Tema central, puntos principales, estructura argumentativa, conclusión","Documentalismo"
B1,Listening,"Podcasts & Radio Shows (7-10 minutes)","Conversación estructurada, opiniones, datos, conclusiones, vocabulario especializado","Medios de audio"
B1,Listening,"Interviews & Profiles (6-8 minutes)","Información personal, experiencias, motivaciones, testimonios","Narrativa de vida"
B1,Listening,"Films & TV (extract 5-7 minutes)","Subtrama comprensible, emociones, contexto social, diálogos naturales","Entretenimiento audiovisual"
B1,Listening,"Academic Lectures (Short extracts, 5-8 minutes)","Presentación de tema, puntos clave, ejemplos, transiciones entre ideas","Contexto académico"
B1,Listening,"Telephone Conversations (Role-play & real, 4-6 minutes)","Propósito, negociación, resolución de problemas, registro apropiado","Comunicación telefónica"
B1,Speaking,"Presenting on Familiar Topics (3-4 minutes)","Estructura clara, introducción, puntos principales, conclusión, lenguaje preparado","Presentación básica"
B1,Speaking,"Storytelling in Past Tense (3-5 minutes)","Secuencia cronológica, detalles descriptivos, clímax, conclusión, participación emocional","Narrativa oral"
B1,Speaking,"Expressing & Justifying Opinions","Acuerdo/desacuerdo, razones de apoyo, ejemplos personales, reconocimiento de otros puntos de vista","Opinión fundamentada"
B1,Speaking,"Problem-Solving Discussions (Role-play)","Identificar problema, brainstorm soluciones, discutir pros y contras, llegar a acuerdo","Negociación"
B1,Speaking,"Spontaneous Conversations (2-3 minutes)","Responder preguntas no preparadas, clarificar, elaborar ideas, mantener fluidez","Conversación espontánea"
B1,Speaking,"Asking for Clarification & Negotiating","Expresiones de incomprensión, pedir repetición, reformular, llegar a comprensión mutua","Comunicación efectiva"
B1,Vocabulary,"Business & Professional Terms (25-30 words)","Interview, deadline, project, budget, feedback, performance, salary, promotion, responsibility","Contexto laboral"
B1,Vocabulary,"Environmental & Social Issues (25-30 words)","Pollution, climate change, recycling, sustainability, conservation, carbon footprint, deforestation","Temas globales"
B1,Vocabulary,"Technology & Internet (25-30 words)","Website, download, app, software, hardware, password, browser, email, upload, stream","Mundo digital"
B1,Vocabulary,"Health & Fitness (20-25 words)","Nutrition, exercise, calories, weight, vitamins, allergy, medication, symptom, disease","Bienestar"
B1,Vocabulary,"Travel & Tourism (20-25 words)","Passport, visa, accommodation, sightseeing, itinerary, reservation, luggage, customs","Viajes"
B1,Vocabulary,"Phrasal Verbs (30-40 advanced)","Put off, carry on, look after, turn down, set up, take on, bring about, come across","Expresiones comunes"
B2,Grammar,"Second Conditional (Hypothetical Situations)","If + past + would/could/might + infinitive, Contraste con First Conditional, Uso en debates","Especulación"
B2,Grammar,"Advanced Passive Voice & Agent Emphasis","By + agent, Passivization de diferentes tiempos, Stilística pasiva avanzada","Escritura académica"
B2,Grammar,"Advanced Modal Verbs & Semi-modals","Must have, should have, could have, might have, need to, have to, be able to","Retrospectiva, certeza/especulación"
B2,Grammar,"Inversion & Emphasis Structures","Fronting, Cleft sentences, Negative inversion, Emphasis through word order","Estilo retórico"
B2,Grammar,"Mixed Conditionals & Advanced if-structures","Combinación de tiempos en condicionales, Unless, provided that, as long as","Argumentación compleja"
B2,Grammar,"Gerunds & Infinitives (Nuanced usage)","Verbos que cambian significado, Preposiciones + gerunds, Construcciones avanzadas","Precisión semántica"
B2,Grammar,"Complex Noun Phrases & Discourse Markers","Pre-modification y post-modification, Nominalization, Conectores avanzados","Densidad sintáctica"
B2,Grammar,"Subjunctive Mood (Formal Register)","Mandate subjunctive, Formulaic uses, Literary & formal contexts, Variación dialectal","Registro formal"
B2,Reading,"Academic & Specialized Articles (400-500 words)","Metodología, análisis, conclusiones, vocabulario técnico, evaluación de fuentes","Lectura académica"
B2,Reading,"Literary Texts & Short Stories (300-400 words)","Técnicas narrativas, simbolismo, tema, estilo autoral, contexto histórico","Análisis literario"
B2,Reading,"Formal & Academic Essays (350-450 words)","Argumentación estructurada, evidencia, contraargumentos, conclusión compleja","Ensayística"
B2,Reading,"Opinion Pieces & Editorial Content (250-350 words)","Tesis clara, argumentación persuasiva, apelaciones emocionales/lógicas, conclusión impactante","Opinión fundada"
B2,Reading,"Critical Reviews (Books, Films, Exhibitions)","Resumen crítico, análisis técnico, juicio estético, comparación","Crítica especializada"
B2,Reading,"Legal & Official Documents","Lenguaje técnico/legal, cláusulas condicionales, precisión terminológica, estructura formal","Documentación oficial"
B2,Writing,"Essays with Complex Arguments (350-450 words)","Tesis clara, párrafos temáticos, contra-argumentos anticipados, síntesis sofisticada","Ensayo académico"
B2,Writing,"Formal Complaints & Professional Correspondence (200-250 words)","Tono diplomático, presentación de problemas complejos, solicitudes específicas","Comunicación profesional"
B2,Writing,"Critical Reviews & Analysis (280-350 words)","Resumen objetivo, criterios de evaluación, análisis profundo, recomendación fundada","Crítica reflexiva"
B2,Writing,"Formal Reports (300-400 words)","Estructura: resumen ejecutivo, introducción, hallazgos, recomendaciones, conclusión","Documentos técnicos"
B2,Writing,"Persuasive Essays (300-400 words)","Argumentación multifacética, evidencia variada, reconocimiento de perspectivas opuestas, cierre persuasivo","Ensayística persuasiva"
B2,Writing,"Creative Writing (Stories, Descriptions - 350-450 words)","Narrativa sofisticada, caracterización, atmósfera, variación estilística, impacto emocional","Escritura creativa"
B2,Listening,"Complete Documentary Features (15-20 minutes)","Narrativa compleja, múltiples voces, datos presentados, conclusiones implícitas","Documental avanzado"
B2,Listening,"Academic Lectures (15-20 minutes)","Estructura argumentativa, definiciones técnicas, ejemplos, conclusiones, supuestos implícitos","Lectura académica"
B2,Listening,"Political Speeches & Debates (10-15 minutes)","Retórica persuasiva, apelaciones emocionales, lógica argumentativa, falsos dilemas reconocidos","Análisis retórico"
B2,Listening,"Authentic Films & Drama (30-60 minute extracts)","Diálogos variados, acentos diversos, expresiones idiomáticas, contexto cultural implícito","Inmersión cultural"
B2,Listening,"Opinion Podcasts (20-30 minutes)","Perspectivas, supuestos implícitos, tono del locutor, audiencia objetivo","Análisis de medios"
B2,Listening,"Expert Interviews & Panel Discussions (15-20 minutes)","Vocabulario especializado, puntos de vista contrastantes, argumentación matizada","Discusión especializada"
B2,Speaking,"Formal Presentations (5-7 minutes) with Q&A","Estructura clara, manejo de público, transiciones temáticas, respuesta a preguntas desafiantes","Oratoria profesional"
B2,Speaking,"Debates & Argumentation on Complex Topics","Presentación de posición, contra-argumentos, evidencia citada, refutación elegante, admisión de puntos válidos contrarios","Debate estructurado"
B2,Speaking,"Negotiation Role-plays (Business Scenarios)","Propuesta inicial, concesiones estratégicas, lenguaje diplomático, cierre de acuerdo","Negociación comercial"
B2,Speaking,"Analysis & Opinion on Current Events & Controversial Topics","Múltiples perspectivas presentadas, matices reconocidos, evidencia de lecturas variadas","Comentario informado"
B2,Speaking,"Storytelling with Sophisticated Language & Humor","Narrative devices, foreshadowing, juego de palabras, timing para chistes, tono narrativo variable","Narración sofisticada"
B2,Speaking,"Spontaneous Discussions (10-15 minutes) without preparation","Fluidez, vocabulario variado, auto-corrección natural, ideas desarrolladas","Conversación espontánea"
B2,Vocabulary,"Abstract Concepts (20-25 words)","Justice, freedom, equality, democracy, ethics, morality, integrity, hypocrisy, paradox, irony, ambiguity, contradiction, authenticity, virtue, tolerance","Pensamiento abstracto"
B2,Vocabulary,"Business & Economics (30-35 words)","Merger, acquisition, dividend, shareholder, stakeholder, monopoly, supply chain, logistics, inflation, interest rate, fiscal policy, monetary policy, trade deficit, surplus","Vocabulario de negocios"
B2,Vocabulary,"Science & Technology (30-35 words)","Quantum, algorithm, artificial intelligence, blockchain, cybersecurity, biotechnology, nanotechnology, genetics, genome, mutation, enzyme, hypothesis, empirical, regression","Vocabulario técnico"
B2,Vocabulary,"Culture & Arts (25-30 words)","Renaissance, baroque, impressionism, abstract, avant-garde, semantics, metaphor, personification, satire, allegory, motif, genre, modernism, cubism, surrealism","Vocabulario artístico"
B2,Vocabulary,"Social & Political Issues (30-35 words)","Discrimination, prejudice, stereotype, bias, minority, marginalization, advocacy, activism, civil rights, human rights, sovereignty, imperialism, colonialism, decolonization, geopolitics","Vocabulario socio-político"
C1,Grammar,"Advanced Inversion & Stylistic Structures","Fronting (A better solution would be...), Cleft sentences (It was his leadership that...), Emphasis through word order","Estilo retórico elevado"
C1,Grammar,"Subjunctive Mood (Formal & Literary)","Mandate subjunctive (It is crucial that he arrive on time), Literary (If he were to...), Formal recommendations","Registro formal y literario"
C1,Grammar,"Advanced Participle Structures","Participle clauses for economy of expression (Having completed..., Being aware of...), Dangling participles avoided","Escritura eficiente"
C1,Grammar,"Complex Noun Phrases & Dense Information Packing","Pre- and post-modification extensive, Noun phrases de 3+ palabras, Information compacted elegantly","Densidad sintáctica"
C1,Grammar,"Ellipsis & Substitution for Elegant Variation","Evitar repetición mediante elipsis, 'so' y 'do' para evitar repetir verbos, Registro natural avanzado","Variedad léxica y sintáctica"
C1,Grammar,"Register & Style Variation Across Genres","Cambio de tono según contexto (académico vs. periodístico vs. literario), Conciencia de audience","Versatilidad comunicativa"
C1,Reading,"Academic Journals & Research Articles (Complete papers)","Metodología, análisis estadístico, discusión de implicaciones, literatura citada, evaluación crítica de fuentes","Lectura académica avanzada"
C1,Reading,"Classical & Modern Literature (Complete works or substantial extracts)","Análisis de técnica narrativa, simbolismo, contexto histórico, influencias literarias, teoría literaria aplicada","Análisis literario experto"
C1,Reading,"Philosophical & Critical Theory Texts (500+ words)","Conceptos abstractos, argumentación compleja, vocabulario especializado, inferencias sofisticadas","Lectura filosófica"
C1,Reading,"Specialized Technical Documentation (Engineering, Medical)","Terminología precisa, procedimientos complejos, especificaciones, notación técnica, normas de redacción técnica","Dominio técnico de lenguaje"
C1,Reading,"Political Analysis & Geopolitical Commentary","Múltiples actores, intereses conflictivos, contexto histórico profundo, predicciones basadas en análisis","Análisis geopolítico"
C1,Writing,"Extended Academic Essays (1000+ words)","Hipótesis articulada, literatura revisada exhaustivamente, análisis original, contraargumentos anticipados y refutados elegantemente, conclusiones sofisticadas","Ensayística académica"
C1,Writing,"Professional Reports & White Papers (1000-1500 words)","Propósito claro, recomendaciones basadas en análisis, implementación de hallazgos, secciones bien definidas","Documentación ejecutiva"
C1,Writing,"Literature Reviews & Research Syntheses (1000+ words)","Síntesis de literatura existente, identificación de lagunas en investigación, perspectiva crítica, organización temática o teórica","Síntesis de investigación"
C1,Writing,"Opinion Columns & Editorial Pieces (500-800 words)","Voz personal distintiva, argumentación sofisticada, apelación a valores/emociones equilibrada, impacto retórico","Columnismo de opinión"
C1,Writing,"Creative Non-fiction & Personal Essays (800-1000 words)","Narración reflexiva, análisis de experiencia personal, stilística variada, resonancia emocional y cognitiva","Ensayística creativa"
C1,Listening,"Documentary Analysis & Critique (20-25 min)","Análisis crítico de narrativa, sesgo, técnicas retóricas, complejidad narrativa, perspectivas múltiples","Documental especializado"
C1,Listening,"Academic Lectures with Complex Arguments (20-25 min)","Seguimiento de argumentación densa, conceptos abstractos, suposiciones implícitas, lógica formal, conclusiones sofisticadas","Conferencias académicas"
C1,Listening,"Specialized Podcasts & Expert Interviews (25-30 min)","Vocabulario técnico, referencias cruzadas, contexto especializado, discusión profunda, matices","Podcasts académicos"
C1,Listening,"Films & Drama with Nuanced Dialogue (60+ min extracts)","Diálogos complejos, subtexto, contexto cultural profundo, acentos diversos, expresiones idiomáticas avanzadas","Películas de arte"
C1,Listening,"Conference Presentations & Seminars (30-45 min)","Presentaciones técnicas, discusión abierta, preguntas y respuestas espontáneamente, criterios de evaluación","Conferencias profesionales"
C1,Listening,"Literary Audiobooks & Dramatic Productions (extracts 20-30 min)","Narrativa literaria compleja, interpretación vocal matizada, aliteración, assonancia, ritmo poético","Obras literarias"
C1,Speaking,"Formal Academic Presentations (15-20 minutes)","Monografías temáticas, manejo de preguntas técnicas, citación de fuentes, defensa de posiciones, interacción con audiencia experta","Presentación académica"
C1,Speaking,"Panel Discussions & Expert Commentary (Prepared & Spontaneous)","Contribución equilibrada, respeto por otros panelistas, síntesis de puntos diversos, reafirmación de propias posiciones con nuevas evidencias","Diálogo experto"
C1,Speaking,"Persuasive Public Speaking & Rhetoric","Construcción de argumento en cascada, uso de estadísticas y anécdotas, tono que cambia según propósito (informar vs. persuadir vs. inspirar)","Oratoria persuasiva"
C1,Speaking,"Socratic Dialogue & Intellectual Debate","Cuestionamiento socrático, reconocimiento de complejidad, disposición a revalorar posiciones, lenguaje diplomático en desacuerdos","Conversación intelectual"
C1,Speaking,"Broadcast/Media Interviews (Prepared & Live)","Mensajes clave transmitidos, manejo de preguntas difíciles, brevedad con sustancia, adecuación al medio (radio vs. TV)","Comunicación mediática"
C1,Speaking,"Interdisciplinary Commentary (Linguistic, Cultural, Historical Perspectives)","Análisis desde múltiples ángulos, integración de contexto, vocabulario especializado de múltiples campos","Análisis multidisciplinario"
C1,Vocabulary,"Sophisticated Literary Devices (15-20 terms)","Metonymy, synecdoche, oxymoron, zeugma, hendiadys, asyndeton, polysyndeton, antithesis, paradox, apotheosis, bathos, pun, malapropism","Léxico literario"
C1,Vocabulary,"Philosophy & Abstract Thinking (20-25 words)","Epistemology, ontology, phenomenology, existentialism, nihilism, determinism, free will, consciousness, intentionality, realism, nominalism, rationalism, empiricism, relativism, absolutism","Vocabulario filosófico"
C1,Vocabulary,"Scientific & Medical Terminology (30-40 words)","Pathogenesis, etiology, prognosis, proliferation, differentiation, apoptosis, mutation, heterozygous, homozygous, protein synthesis, metabolic pathway, cellular respiration, photosynthesis, ecosystem, biodiversity","Léxico científico"
C1,Vocabulary,"Legal & Political Terminology (25-30 words)","Jurisprudence, tort, precedent, jurisdiction, legislature, executive, judiciary, sovereignty, treaty, protocol, embargo, sanctions, hegemony, autocracy, oligarchy, plutocracy, meritocracy","Léxico legal y político"
C1,Vocabulary,"Stylistic & Rhetorical Terms (20-25 words)","Allusion, circumlocution, euphemism, hyperbole, understatement, litotes, irony, sarcasm, bombast, grandiloguence, pedantry, pathos, ethos, logos, rhetoric, pragmatism, sophistry","Léxico retórico"
C2,Grammar,"Rare & Archaic Grammatical Structures","Thou/thee forms in literary contexts, Unusual word orders for emphasis, Rare modal constructions, Stylistic inversions for poetic effect","Análisis literario avanzado"
C2,Grammar,"Discourse Markers & Coherence Devices","Moreover, nevertheless, furthermore, in light of, given that, conversely, by contrast, to that end, as such","Escritura coherente"
C2,Grammar,"Advanced Pragmatic & Semantic Distinctions","Connotations, denotations, pragmatic implicatures, speech acts, performative verbs, metalinguistic commentary","Análisis lingüístico"
C2,Grammar,"Stylistic Variation & Linguistic Registers","Formal academic, journalistic, legal, poetic, colloquial, slang, technical jargon, regional dialects","Versatilidad estilística"
C2,Grammar,"Complex Syntactic Patterns for Rhetorical Effect","Parallel structures, antithesis, chiasmus, alliteration, assonance, repetition for emphasis, sentence combining for sophistication","Retórica de escribir"
C2,Grammar,"Rare Verb Forms & Tenses (Literary & Formal)","Pluperfect continuous, rare conditional structures, stylistic present in narratives, epistolary past","Escritura literaria"
C2,Reading,"Highly Specialized Academic & Research Publications","Methodology, statistical analysis, peer review conventions, academic discourse communities, theoretical frameworks","Lectura especializada"
