Nivel,Módulo,Competencia,Descriptores de Desempeño,Contextos de Uso
A1,Vocabulary,"Colors (11 básicos: red, blue, yellow, green, etc.)","Identificar colores en objetos reales e imágenes","Descripción de cosas, ropa"
A1,Vocabulary,"Family Members (singular & plural)","Mother, father, sister, brother, grandmother, grandfather, cousin","Describir familia cercana"
A1,Vocabulary,"Days of the Week & Months","Recognizing and producing all 7 days and 12 months, Asociar días con actividades","Calendario, horarios"
A1,Vocabulary,"Common Food Items (15-20 items)","Bread, cheese, apple, milk, water, coffee, chicken, rice, pizza, ice cream","Menús, compras básicas"
A1,Vocabulary,"Common Classroom Objects","Book, pen, pencil, desk, chair, board, bag, ruler, notebook, scissors","Identificación en clase"
A1,Vocabulary,"Clothing Basics (10-12 items)","Shirt, T-shirt, pants, shoes, hat, jacket, skirt, dress, socks, gloves","Descripción, compras"
A1,Vocabulary,"Animals (12-15 comunes)","Dog, cat, bird, fish, horse, cow, chicken, lion, elephant, snake","Conversación general, cuentos infantiles"
A2,Grammar,"Present Simple: Advanced Patterns","Preguntas con adverbios interrogativos (What, Where, When, Why, How), Respuestas cortas (Yes, he does / No, I don't)","Conversaciones, entrevistas"
A2,Grammar,"Present Continuous (Affirmative, Negative, Questions)","Formar -ing gerunds correctamente, Diferenciar Simple vs Continuous","Describir acciones en progreso"
A2,Grammar,"Past Simple Regular & Irregular Verbs","30-40 verbos irregulares comunes (go-went, see-saw, eat-ate), Negativas y preguntas","Narrativas, historias personales"
A2,Grammar,"Comparatives & Superlatives (Adjectives)","Regular: -er/-est, Irregular: good-better-best, bad-worse-worst, Oraciones comparativas","Descripciones relativas, preferencias"
A2,Grammar,"Going to (Future Plans)","Formation: Subject + is/are + going to + infinitive, Negativas y preguntas","Planes futuros cercanos"
A2,Grammar,"Can / Can't (Ability & Permission)","Present ability, simple requests, polite permissions, Distinguir de Must/Should","Capacidades, permisos, solicitudes"
A2,Grammar,"Have got / Has got (Possession)","Affirmative, negative, questions. Diferenciar de 'have' como verbo auxiliar","Describir posesiones"
A2,Grammar,"Object Pronouns (me, you, him, her, it, us, them)","Posición correcta en oraciones, Diferenciación con sujetos","Pronominales en conversación"
A2,Reading,"Short Fictional Stories (100-150 words)","Narrativa simple con pasado y vocabulario conocido, Identificar personajes, trama básica","Lectura recreativa, desarrollo comprensivo"
A2,Reading,"Menus & Restaurant Texts","Entender categorías (appetizers, mains, desserts), precios, alergias, ingredientes","Contexto gastronómico realista"
A2,Reading,"Detailed Instruction Texts (2-3 pasos)","Recetas simples, guías de uso de productos, IKEA-style assembly","Propósito funcional"
A2,Reading,"Simple Emails & Postcards (80-100 words)","Saludos formales, información básica, cierre cordial, Subject line","Comunicación personal"
A2,Reading,"Comic Strips & Illustrated Stories","Comprensión contextual con soporte visual, diálogos simples","Aprendizaje multimodal"
A2,Reading,"Simple Travel Texts","Horarios de trenes/autobuses, mapas básicos, descripciones de destinos","Competencia funcional de viajes"
A2,Reading,"Diary Entries (Personal narratives)","Recount of past events, activities, feelings en pasado simple","Expresión personal"
A2,Writing,"Simple Past Narratives (5-8 sentences)","Contar evento personal en pasado simple con conectores: and, then, after that","Narración autobiográfica"
A2,Writing,"Personal Diary Entries (50-70 words)","Fecha, evento del día, emociones, planes para mañana, estilo informal","Expresión reflexiva"
A2,Writing,"Short Informal Emails (60-80 words)","Subject line, greeting, content, closing. Estructura básica clara","Comunicación digital"
A2,Writing,"Descriptions of People & Places (40-60 words)","Apariencia física, personalidad, ubicación, características, uso de adjetivos variados","Describir entorno"
A2,Writing,"Simple Postcards & Greeting Cards (30-40 words)","Formato específico, saludos, información de viaje, despedida","Comunicación breve"
A2,Writing,"Fill in Paragraph Gaps (Cloze exercises)","Completar con palabras conocidas, consolidación de vocabulario","Refuerzo estructurado"
A2,Listening,"Everyday Conversations (2-3 exchanges)","Diálogos en tiendas, restaurantes, transporte público, velocidad natural moderada","Contextos funcionales reales"
A2,Listening,"Simple Directions & Route Instructions","Seguir indicaciones: turn left, go straight, take the second street","Navegación práctica"
A2,Listening,"Past Event Descriptions","Recount of what happened, past activities, basic storytelling","Comprensión narrativa"
A2,Listening,"Simple Announcements & Advertisements","Información de transporte, ofertas de tiendas, eventos comunitarios","Contextos públicos"
A2,Listening,"Numbers in Context (Time, Money, Distances)","Captar cantidades en contextos realistas con variedad de velocidad","Información específica"
A2,Listening,"Short Video Clips (30-60 seconds) with Subtitles","Vídeos cotidianos: rutinas diarias, actividades familiares","Exposición multimedia"
A2,Speaking,"Describing Daily Routines","Estructurar día: I wake up at..., I have breakfast..., After that...","Narrativa temporal"
A2,Speaking,"Talking About Past Experiences (Simple Past Stories)","Usar pasado simple con conectores: I went..., I saw..., It was amazing because...","Narrativa personal"
A2,Speaking,"Asking for & Giving Directions","Request: Could you tell me how to get to...? Response with landmarks, street names","Competencia funcional"
A2,Speaking,"Describing People & Objects","Apariencia, personalidad, colores, tamaños: She's tall and has brown hair...","Descripción detallada"
A2,Speaking,"Expressing Preferences & Making Comparisons","I like X better than Y because..., X is more interesting than Y...","Argumentación básica"
A2,Speaking,"Making Simple Plans (Going to)","Discussing near future: What are you going to do...? I'm going to...","Coordinación social"
A2,Vocabulary,"Travel & Transportation (20-25 words)","Car, bus, train, taxi, airport, station, ticket, journey, destination, luggage, passport, suitcase","Viajes y desplazamientos"
A2,Vocabulary,"Jobs & Professions (15-20 words)","Teacher, doctor, nurse, farmer, cook, engineer, musician, artist, policeman, firefighter, shopkeeper","Mundo laboral"
A2,Vocabulary,"Weather & Climate (12-15 words)","Sunny, rainy, cloudy, snowy, windy, hot, cold, warm, foggy, stormy, seasons","Descripción ambiental"
A2,Vocabulary,"Health & Illness (15-18 words)","Headache, stomach ache, cold, fever, cough, tired, hurt, pain, doctor, medicine, hospital","Salud personal"
A2,Vocabulary,"Leisure & Entertainment (20-25 words)","Cinema, theater, museum, library, park, swimming pool, sports, music, games, book club, hobby","Ocio y diversión"
A2,Vocabulary,"House & Rooms (15-20 words)","Kitchen, bedroom, living room, bathroom, hallway, stairs, door, window, garden, ceiling, floor","Espacios del hogar"
A2,Vocabulary,"Furniture & Household Items (15-20 words)","Table, chair, sofa, bed, lamp, mirror, curtains, shelf, cupboard, dishwasher, microwave","Equipamiento doméstico"
A2,Vocabulary,"Emotions & Feelings (15-18 words)","Happy, sad, angry, scared, surprised, excited, bored, worried, confused, proud, embarrassed","Expresión emocional"
B1,Grammar,"Present Perfect Simple (Have/Has + Past Participle)","Utilizar para experiencias y cambios recientes, Diferenciación con pasado simple, Ever/Never, Just/Already/Yet","Experiencias de vida, noticias"
B1,Grammar,"Present Perfect Continuous (Have/Has + been + -ing)","Acciones que continúan desde el pasado, Duración enfatizada, Comparación con simple","Proyectos en progreso"
B1,Grammar,"First Conditional (If + Present, + Will + Infinitive)","Situaciones reales futuras, Probabilidad alta, Negativas y preguntas estructuradas","Especulación realista"
B1,Grammar,"Modal Verbs: Should, Shouldn't, Must, Mustn't, Might","Obligación, prohibición, consejo, posibilidad. Contextos apropiados para cada uno","Regulación, recomendación"
B1,Grammar,"Past Continuous (Was/Were + -ing)","Acciones interrumpidas, dos acciones simultáneas, Narrativa detallada","Storytelling detallado"
B1,Grammar,"Passive Voice: Simple Present & Simple Past","Estructura: Subject + to be + past participle, Cuándo usar activa vs pasiva","Textos informativos, noticias"
B1,Grammar,"Relative Clauses (who, which, that) - Defining","Proporcionar información esencial sobre sustantivos, Posición correcta en oración","Descripción precisa"
B1,Grammar,"Quantifiers (some, any, much, many, a few, a little)","Correcto con contables e incontables, Uso en preguntas, Contextos naturales","Precisión cuantitativa"
B1,Reading,"News Articles & Current Events (200-300 words)","Identificar ideas principales, detalles, opiniones del autor implícitas","Información actualizada"
B1,Reading,"Opinion Pieces & Blog Posts","Comprensión de argumentos, rastreo de opiniones vs hechos, Identificación de evidencia","Lectura crítica"
B1,Reading,"Short Fiction & Classic Stories Adapted (300-400 words)","Comprensión de narrativa compleja, characterization, plot structure","Lectura recreativa avanzada"
B1,Reading,"Informational Brochures & Guides (Tourism, Health)","Extracción de información específica, organización lógica de contenido","Documentos prácticos"
B1,Reading,"Multi-paragraph Emails & Formal Letters (150-200 words)","Estructura: apertura, cuerpo, cierre, tono formal/informal según contexto","Comunicación profesional básica"
B1,Reading,"Movie/Book Reviews & Recommendations","Expresión de opinión respaldada, descripción de argumento, recomendación justificada","Crítica constructiva"
B1,Writing,"Opinion Essays (200-250 words)","Tesis clara, 2-3 párrafos de apoyo, conclusión, conectores de secuencia (Furthermore, However, Therefore)","Desarrollo argumentativo"
B1,Writing,"Formal Letters (150-180 words)","Address, formal greeting, clear purpose, body paragraphs, professional closing (Sincerely, Best regards)","Correspondencia formal"
B1,Writing,"Written Summaries of Texts (100-120 words)","Capturar ideas principales, parafrasear sin copiar, mantener objetividad","Síntesis comprensiva"
B1,Writing,"Extended Descriptions (180-220 words)","Lugares, eventos, personas con detalles sensoriales, estructura clara, adjetivos variados","Escritura descriptiva"
B1,Writing,"Simple Narrative Compositions (250-300 words)","Introducción, desarrollo, clímax, resolución, uso de tiempos variados correctamente","Storytelling estructurado"
B1,Writing,"Product/Service Reviews (120-150 words)","Experiencia personal, aspectos positivos/negativos, recomendación, ejemplos específicos","Crítica constructiva"
B1,Listening,"Podcast Episodes on Familiar Topics (5-10 minutes)","Comprensión global y selectiva, identificación de tema, ideas principales, detalles de apoyo","Autoaprendizaje multimedia"
B1,Listening,"Television & Radio News Reports (2-3 minutes)","Seguimiento de noticias, hechos principales, contexto, cifras, citas directas","Información actualizada"
B1,Listening,"Short Documentary Extracts (5-8 minutes)","Narración informativa, datos específicos, perspectivas presentadas","Aprendizaje temático"
B1,Listening,"TED Talk Shorts (5-7 minutes, tópicos familiares)","Presentación temática, estructura lógica, ejemplos, conclusión clara","Exposición académica"
B1,Listening,"Telephone Conversations & Voicemails","Contextos reales: citas médicas, reservas, resolución de problemas, números mencionados","Funcionalidad telefónica"
B1,Listening,"Interview Extracts (3-4 minutes)","Preguntas y respuestas, tono conversacional, información biográfica, opiniones expresadas","Interacción dinámina"
B1,Speaking,"Guided Debates on Simple Topics","Expresar acuerdo/desacuerdo: I agree/disagree because..., That's a good point, but..., On the other hand...","Pensamiento crítico colaborativo"
B1,Speaking,"Narrative & Personal Experience Sharing","Contar histórias detalladas con contexto, reacciones, lecciones aprendidas","Expresión autobiográfica"
B1,Speaking,"Giving Advice & Making Recommendations","You should/shouldn't..., I think you could try..., Have you considered...?","Soporte interpersonal"
B1,Speaking,"Describing Trends & Making Comparisons","Presente perfecto + cambios observados, Comparativos/superlativos, gráficos/datos","Análisis comunicado"
B1,Speaking,"Role-play: Professional Scenarios (Job Interview, Customer Service)","Respuestas apropiadas, vocabulario profesional, estructura cortés","Competencia laboral"
B1,Speaking,"Presentations (2-3 minutes) on Known Topics","Introducción clara, puntos organizados, conclusión, manejo de público básico","Oratoria principiante"
B1,Vocabulary,"Emotions & Emotional States (20-25 words)","Frustration, anticipation, contentment, anxiety, nostalgia, determination, indifference, enthusiasm, skepticism, optimism, pessimism","Sutileza emocional"
B1,Vocabulary,"Technology & Internet (25-30 words)","Laptop, smartphone, app, download, upload, email attachment, software, password, website, search engine, social media, online, digital, virtual","Mundo digital"
B1,Vocabulary,"Education & Learning (20-25 words)","Degree, subject, thesis, research, lecture, seminar, exam, scholarship, curriculum, enrollment, tuition, academic, study abroad, extracurricular","Contexto académico"
B1,Vocabulary,"Environmental & Social Issues (25-30 words)","Climate change, pollution, recycling, renewable energy, conservation, sustainability, greenhouse gas, carbon footprint, deforestation, species extinction, social responsibility, community, poverty, inequality","Conciencia global"
B1,Vocabulary,"Business & Commerce (20-25 words)","Marketing, sales, profit, revenue, contract, invoice, employee, manager, company, customer, product, service, budget, investment, competition","Mundo empresarial"
B2,Grammar,"Passive Voice: All Tenses (Including Complex Structures)","Present, past, future forms, Modal passives (can be done, must be completed), Causatives (had it repaired)","Textos técnicos y periodísticos"
B2,Grammar,"Reported Speech (Statements, Questions, Commands)","Transformación de tiempos, Cambios de pronombres y referencias, backshift de tiempos","Narrativa indirecta"
B2,Grammar,"Second Conditional (If + Past, + Would + Infinitive)","Situaciones imaginarias presentes, consejos oblicuos, Estructuras mixtas","Especulación contrafáctica"
B2,Grammar,"Third Conditional (If + Had, + Would have + Past Participle)","Arrepentimientos, análisis de eventos pasados alternativos, cadenas de condicionales","Reflexión sobre el pasado"
B2,Grammar,"Mixed Conditionals (Combinaciones de 1ero, 2do, 3er condicional)","Pasado imaginario + presente real, Presente imaginario + consecuencias pasadas","Pensamiento complejo"
B2,Grammar,"Advanced Relative Clauses (Non-defining, Prepositions + Relative Pronouns)","Which (for whole clause), whom, whose, where, when, why. Comas en defining vs non-defining","Precisión sintáctica"
B2,Grammar,"Inversion for Emphasis & Advanced Word Order","Rarely have I..., Seldom does..., Under no circumstances will...","Estilo retórico"
B2,Grammar,"Nominalization (Turning Verbs/Adjectives into Nouns)","The development of..., His arrival was..., The complexity of the issue...","Estilo académico y formal"
B2,Reading,"Complex News Analysis & Opinion Pieces (400-500 words)","Múltiples perspectivas, crítica implícita, reconocimiento de sesgo, análisis de retorica","Lectura crítica sofisticada"
B2,Reading,"Contemporary Fiction & Literary Extracts (500+ words)","Estilo narrativo, técnicas literarias, simbolismo implícito, desarrollo de caracteres complejos","Literatura contemporánea"
B2,Reading,"Technical Reports & Academic Articles (Abstract nivel)","Vocabulario especializado, estructura de investigación, conclusiones basadas en datos","Lectura académica"
B2,Reading,"Biographies & Memoirs (300-400 words)","Narrativa de vida, análisis de contexto histórico, motivaciones inferidas","Biografía narrativa"
B2,Reading,"Literary Criticism & Academic Essays (350-450 words)","Argumentación sofisticada, referencias a textos, análisis crítico, evaluación juicio","Crítica textual"
B2,Writing,"Formal/Persuasive Essays (400-500 words)","Tesis clara, contraargumentos anticipados y refutados, evidencia específica, conclusión impactante","Argumentación académica"
B2,Writing,"Detailed Reports (250-350 words)","Executive summary, body con apartados, datos y análisis, recomendaciones, lenguaje formal","Reportes profesionales"
B2,Writing,"Formal Complaint Letters (150-200 words)","Tono asertivo pero respetuoso, detalles específicos, demanda clara, referencias a políticas","Defensa de derechos"
B2,Writing,"Book/Film Reviews with Critical Analysis (250-300 words)","Síntesis de argumento, análisis de técnicas, evaluación personal justificada, contexto del autor/director","Crítica sofisticada"
B2,Writing,"Extended Narratives or Creative Pieces (350-400 words)","Estructura narrativa clara, desarrollo de personajes, diálogos realistas, manejo de tono","Escritura narrativa avanzada"
B2,Writing,"Analytical Summaries (120-150 words de 400-500 palabra source)","Capturar argumento central, omitir ejemplos menores, mantener proporción, análisis implícito","Síntesis analítica"
B2,Listening,"Full-Length Interviews (10-15 minutes)","Perspectiva del entrevistado, preguntas implícitas, matices de respuestas, contexto social/cultural","Análisis conversacional"
B2,Listening,"Documentary Features (15-20 minutes)","Narrativa compleја, múltiples voces, datos presentados, conclusiones sugeridas implícitamente","Documentalismo avanzado"
B2,Listening,"Academic Lectures (15-20 minutes)","Estructura argumentativa, definiciones de términos técnicos, ejemplos, conclusiones, asunciones implícitas","Conferencias académicas"
B2,Listening,"Political Speeches & Debates (10-15 minutes)","Retórica persuasiva, apelaciones emocionales, lógica argumentativa, falsos dilemas reconocidos","Análisis retórico"
B2,Listening,"Authentic Films/Drama (30-60 minute extracts)","Diálogos variados, acentos diversos, expresiones idiomáticas, contexto cultural implícito","Inmersión cultural"
B2,Listening,"Podcasts de Opinión (20-30 minutes)","Perspectivas, supuestos implícitos, tono del locutor, audiencia objetivo implied","Análisis de medios"
B2,Speaking,"Formal Presentations (5-7 minutes) with Q&A","Estructura clara, manejo de público, transiciones entre tópicos, respuesta a preguntas desafiantes","Oratoria profesional"
B2,Speaking,"Debates & Argumentation on Complex Topics","Presentación de posición, contra-argumentos, evidencia citada, refutación elegante, admisión de puntos válidos contrarios","Debate estructurado"
B2,Speaking,"Negotiation Role-plays (Business Scenarios)","Propuesta inicial, concesiones estratégicas, lenguaje diplomático, cierre de acuerdo","Negociación comercial"
B2,Speaking,"Analysis & Opinion on Current Events/Controversial Topics","Múltiples perspectivas presentadas, matices reconocidos, evidencia de lecturas variadas","Comentario informado"
B2,Speaking,"Storytelling with Sophisticated Language & Humor","Narrative devices, foreshadowing, juego de palabras, timing para chistes, tono narrativo variable","Narración sofisticada"
B2,Speaking,"Spontaneous Discussions (10-15 minutes) without preparation","Fluidez, vocabulario variado, auto-corrección natural, ideas desarrolladas","Conversación espontánea"
B2,Vocabulary,"Abstract Concepts (20-25 words)","Justice, freedom, equality, democracy, ethics, morality, integrity, hypocrisy, paradox, irony, ambiguity, contradiction, authenticity, virtue, tolerance","Pensamiento abstracto"
B2,Vocabulary,"Business & Economics (30-35 words)","Merger, acquisition, merger, dividend, shareholder, stakeholder, monopoly, supply chain, logistics, inflation, interest rate, fiscal policy, monetary policy, trade deficit, surplus","Vocabulario de negocios"
B2,Vocabulary,"Science & Technology (30-35 words)","Quantum, algorithm, artificial intelligence, blockchain, cybersecurity, biotechnology, nanotechnology, genetics, genome, mutation, enzyme, hypothesis, empirical, hypothesis, regression","Vocabulario técnico"
B2,Vocabulary,"Culture & Arts (25-30 words)","Renaissance, baroque, impressionism, abstract, avant-garde, semantics, metaphor, personification, satire, allegory, motif, genre, modernism, cubism, surrealism","Vocabulario artístico"
B2,Vocabulary,"Social & Political Issues (30-35 words)","Discrimination, prejudice, stereotype, bias, minority, marginalization, advocacy, activism, civil rights, human rights, sovereignty, imperialism, colonialism, decolonization, geopolitics","Vocabulario socio-político"
C1,Grammar,"Advanced Inversion & Stylistic Structures","Fronting (A better solution would be...), Cleft sentences (It was his leadership that...), Emphasis through word order","Estilo retórico elevado"
C1,Grammar,"Subjunctive Mood (Formal & Literary)","Mandate subjunctive (It is crucial that he arrive on time), Literary (If he were to...), Formal recommendations","Registro formal y literario"
C1,Grammar,"Advanced Participle Structures","Participle clauses for economy of expression (Having completed..., Being aware of...), Dangling participles avoided","Escritura eficiente"
C1,Grammar,"Complex Noun Phrases & Dense Information Packing","Pre- and post-modification extensive, Noun phrases de 3+ palabras, Information compacted elegantly","Densidad sintáctica"
C1,Grammar,"Ellipsis & Substitution for Elegant Variation","Evitar repetición mediante elipsis, 'so' y 'do' para evitar repetir verbos, Registro natural avanzado","Variedad léxica y sintáctica"
C1,Grammar,"Register & Style Variation Across Genres","Cambio de tono según contexto (académico vs. periodístico vs. literario), Conciencia de audience","Versatilidad comunicativa"
C1,Reading,"Academic Journals & Research Articles (Complete papers)","Metodología, análisis estadístico, discusión de implicaciones, literatura citada, evaluación crítica de fuentes","Lectura académica avanzada"
C1,Reading,"Classical & Modern Literature (Complete works or substantial extracts)","Análisis de técnica narrativa, simbolismo, contexto histórico, influencias literarias, teoría literaria aplicada","Análisis literario experto"
C1,Reading,"Philosophical & Critical Theory Texts (500+ words)","Conceptos abstractos, argumentación compleја, vocabulario especializado, inferencias sofisticadas","Lectura filosófica"
C1,Reading,"Specialized Technical Documentation (Engineering, Medical)","Terminología precisa, procedimientos complejos, especificaciones, notación técnica, normas de redacción técnica","Dominio técnico de lenguaje"
C1,Reading,"Political Analysis & Geopolitical Commentary","Múltiples actores, intereses conflictivos, contexto histórico profundo, predicciones basadas en análisis","Análisis geopolítico"
C1,Writing,"Extended Academic Essays (1000+ words)","Hipótesis articulada, literatura revisada exhaustivamente, análisis original, contraargumentos anticipados y refutados elegantemente, conclusiones sofisticadas","Ensayística académica"
C1,Writing,"Professional Reports & White Papers (1000-1500 words)","Propósito claro, recomendaciones basadas en análisis, implementación de hallazgos, secciones bien definidas","Documentación ejecutiva"
C1,Writing,"Literature Reviews & Research Syntheses (1000+ words)","Síntesis de literatura existente, identificación de lagunas en investigación, perspectiva crítica, organización temática o teórica","Síntesis de investigación"
C1,Writing,"Opinion Columns & Editorial Pieces (500-800 words)","Voz personal distintiva, argumentación sofisticada, apelación a valores/emociones equilibrada, impacto retórico","Columnismo de opinión"
C1,Writing,"Creative Non-fiction & Personal Essays (800-1000 words)","Narración reflexiva, análisis de experiencia personal, stilística variada, resonancia emocional y cognitiva","Ensayística creativa"
C1,Speaking,"Formal Academic Presentations (15-20 minutes)","Monografías temáticas, manejo de preguntas técnicas, citación de fuentes, defensa de posiciones, interacción con audiencia experta","Presentación académica"
C1,Speaking,"Panel Discussions & Expert Commentary (Prepared & Spontaneous)","Contribución equilibrada, respeto por otros panelistas, síntesis de puntos diversos, reafirmación de propias posiciones con nuevas evidencias","Diálogo experto"
C1,Speaking,"Persuasive Public Speaking & Rhetoric","Construcción de argumento en cascada, uso de estadísticas y anécdotas, tono que cambia según propósito (informar vs. persuadir vs. inspirar)","Oratoria persuasiva"
C1,Speaking,"Socratic Dialogue & Intellectual Debate","Cuestionamiento socrático, reconocimiento de complejidad, disposición a revalorar posiciones, lenguaje diplomático en desacuerdos","Conversación intelectual"
C1,Speaking,"Broadcast/Media Interviews (Prepared & Live)","Mensajes clave transmitidos, manejo de preguntas difíciles, brevedad con sustancia, adecuación al medio (radio vs. TV)","Comunicación mediática"
C1,Speaking,"Interdisciplinary Commentary (Linguistic, Cultural, Historical Perspectives)","Análisis desde múltiples ángulos, integración de contexto, vocabulario especializado de múltiples campos","Análisis multidisciplinario"
C1,Vocabulary,"Sophisticated Literary Devices (15-20 terms)","Metonymy, synecdoche, oxymoron, zeugma, hendiadys, asyndeton, polysyndeton, antithesis, paradox, apotheosis, bathos, pun, malapropism","Léxico literario"
C1,Vocabulary,"Philosophy & Abstract Thinking (20-25 words)","Epistemology, ontology, phenomenology, existentialism, nihilism, determinism, free will, consciousness, intentionality, realism, nominalism, rationalism, empiricism, relativism, absolutism","Vocabulario filosófico"
C1,Vocabulary,"Scientific & Medical Terminology (30-40 words)","Pathogenesis, etiology, prognosis, proliferation, differentiation, apoptosis, mutation, heterozygous, homozygous, protein synthesis, metabolic pathway, cellular respiration, photosynthesis, ecosystem, biodiversity","Léxico científico"
C1,Vocabulary,"Legal & Political Terminology (25-30 words)","Jurisprudence, tort, precedent, jurisdiction, legislature, executive, judiciary, sovereignty, treaty, protocol, embargo, sanctions, hegemony, autocracy, oligarchy, plutocracy, meritocracy","Léxico legal y político"
C1,Vocabulary,"Stylistic & Rhetorical Terms (20-25 words)","Allusion, circumlocution, euphemism, hyperbole, understatement, litotes, irony, sarcasm, bombast, grandiloguence, pedantry, pathos, ethos, logos, rhetoric, pragmatism, sophistry","Léxico retórico"
